Id;Nome;Descrizione;Posizione;Mostrata
3;"Scooter 50cc 2T";"Scooter Eurocka 50cc 2 temps";3;0
4;"Scooter 125cc 4T";"Scooter Eurocka 125cc 4 temps";4;0
6;"Moto 4T ";"Moto 50cc 4T,125cc, 250cc";5;1
7;Accessori;"Accessori: grembiule, manicotto, antifurto, casco, specchietto retrovisore, top-case";6;1
8;"Parti di ricambio";"Oltre 3000 pezzi di ricambio per scooter in magazzino. Si prega di indicare il modello dello scooter (indicato nella sezione D.2 del documento di immatricolazione) nel commento dell'ordine. Se si tratta di uno scooter di un'altra marca, si prega di contattarci prima a 914262675 o di inviare la richiesta via e-mail con una foto del pezzo che si sta cercando contact#@#eurocka.es.";1;1
73;"Vélo électrique";"Vélo électrique";7;0
76;"Auto elettrica senza licenza";"Auto elettrica senza licenza


";8;0
81;Promociones;"Attention !!! Les pièces déstockées ne sont ni reprises ni échangées Merci de vérifier si elles correspondent à votre véhicule";9;0
87;"Scooter thermique ";"Tous nos scooters 50CC sont sous la nouvelle norme EURO 4.
";10;0
111;"Moto elettrica";"Scopri tutti i modelli di moto elettriche nel catalogo più completo e aggiornato: prezzi, offerte, informazioni, opinioni, foto, video e dati.";0;1
112;"Scooter 50cc 4T";"Scooter 50CC 4 temps";2;0
122;"Scooter elettrici";"Scopri i migliori scooter elettrici. Consulta il nostro catalogo con i migliori modelli al miglior prezzo e più economici disponibili qui ✓.";11;1
