"Product ID";Immagine;Nome;Riferimento;Categoria;"Prezzo (tasse escl.)";"Prezzo (tasse incl.)";Quantità;Stato;Posizione
3430;https://eurocka.it/3486/eurocka-cka-c1-rouge-batterie-lithium-60v20ah-garantie-2-ans-.jpg;"EUROCKA CKA C1 ROUGE BATTERIE LITHIUM 60V20AH Garantie 2 ans﻿";"C1 ROUGE 20AH";"Scooter elettrico  L1e";2165.833333;2599;10;0;3
3494;https://eurocka.it/3278/eurocka-cka-c1-blanc-batterie-lithium-60v20ah-garantie-2-ans-.jpg;"EUROCKA CKA C1 BLANC BATTERIE LITHIUM 60V20AH Garantie 2 ans﻿";"C1 BLANC 20AH";"Scooter elettrico  L1e";2165.833333;2599;20;0;4
3498;https://eurocka.it/3483/eurocka-cka-c1-noir-batterie-lithium-60v20ah-garantie-2-ans-.jpg;"EUROCKA CKA C1 NOIR BATTERIE LITHIUM 60V20AH Garantie 2 ans﻿";"C1 NOIR 20AH";"Scooter elettrico  L1e";2165.833333;2599;10;0;5
3496;https://eurocka.it/3292/eurocka-cka-c1sga-pro-rouge-batterie-lithium-60v20ah-garantie-2-ans-.jpg;"EUROCKA CKA C1SGA PRO ROUGE BATTERIE LITHIUM 60V20AH Garantie 2 ans﻿";"C1SGA PRO ROUGE";"Scooter elettrico  L1e";2165.833333;2599;9;0;6
3497;https://eurocka.it/3301/scooter-electrique-livraison-cka-express-blanc.jpg;"EUROCKA CKA C1SGA PRO BLANC BATTERIE LITHIUM 60V20AH Garantie 2 ans﻿";"C1SGA PRO BLANC 20AH";"Scooter elettrico  L1e";2165.833333;2599;10;0;7
3503;https://eurocka.it/3341/eurocka-cka-c1sga-pro-noir-batterie-lithium-60v20ah-garantie-2-ans-.jpg;"EUROCKA CKA C1SGA PRO NOIR BATTERIE LITHIUM 60V20AH Garantie 2 ans﻿";"C1SGA PRO NOIR 20AH";"Scooter elettrico  L1e";2165.833333;2599;10;0;8
3499;https://eurocka.it/3310/eurocka-cka-c1s-rouge-batterie-lithium-60v20ah-garantie-2-ans-.jpg;"EUROCKA CKA C1S ROUGE BATTERIE LITHIUM 60V20AH Garantie 2 ans﻿";"C1S ROUGE 20AH";"Scooter elettrico  L1e";2165.833333;2599;10;0;9
3504;https://eurocka.it/3450/eurocka-cka-c1s-blanc-batterie-lithium-60v20ah-garantie-2-ans-.jpg;"EUROCKA CKA C1S BLANC BATTERIE LITHIUM 60V20AH Garantie 2 ans﻿";"C1S BLANC 20AH";"Scooter elettrico  L1e";2165.833333;2599;10;0;10
3505;https://eurocka.it/3347/eurocka-cka-c1s-noir-batterie-lithium-60v20ah-garantie-2-ans-.jpg;"EUROCKA CKA C1S NOIR BATTERIE LITHIUM 60V20AH Garantie 2 ans﻿";"C1S NOIR 20AH";"Scooter elettrico  L1e";2165.833333;2599;10;0;11
3506;https://eurocka.it/3351/eurocka-cka-c1-rouge-batterie-lithium-60v26ah-garantie-2-ans-.jpg;"EUROCKA CKA C1 ROUGE BATTERIE LITHIUM 60V26AH Garantie 2 ans﻿";"C1 ROUGE 26AH";"Scooter elettrico  L1e";2332.500000;2799;9;0;12
3507;https://eurocka.it/3359/eurocka-cka-c1-blanc-batterie-lithium-60v26ah-garantie-2-ans-.jpg;"EUROCKA CKA C1 BLANC BATTERIE LITHIUM 60V26AH Garantie 2 ans﻿";"C1 BLANC 26AH";"Scooter elettrico  L1e";2332.500000;2799;20;0;13
3508;https://eurocka.it/3367/eurocka-cka-c1-noir-batterie-lithium-60v26ah-garantie-2-ans-.jpg;"EUROCKA CKA C1 NOIR BATTERIE LITHIUM 60V26AH Garantie 2 ans﻿";"C1 NOIR 26AH";"Scooter elettrico  L1e";2332.500000;2799;10;0;14
3509;https://eurocka.it/3371/eurocka-cka-c1sga-pro-rouge-batterie-lithium-60v26ah-garantie-2-ans-.jpg;"EUROCKA CKA C1SGA PRO ROUGE BATTERIE LITHIUM 60V26AH Garantie 2 ans﻿";"C1SGA PRO ROUGE 26AH";"Scooter elettrico  L1e";2332.500000;2799;9;0;15
3510;https://eurocka.it/3380/eurocka-cka-c1sga-pro-blanc-batterie-lithium-60v26ah-garantie-2-ans-.jpg;"EUROCKA CKA C1SGA PRO BLANC BATTERIE LITHIUM 60V26AH Garantie 2 ans﻿";"C1SGA PRO BLANC 26AH";"Scooter elettrico  L1e";2332.500000;2799;10;0;16
3511;https://eurocka.it/3381/eurocka-cka-c1sga-pro-noir-batterie-lithium-60v26ah-garantie-2-ans-.jpg;"EUROCKA CKA C1SGA PRO NOIR BATTERIE LITHIUM 60V26AH Garantie 2 ans﻿";"C1SGA PRO NOIR 26AH";"Scooter elettrico  L1e";2332.500000;2799;9;0;17
3512;https://eurocka.it/3387/eurocka-cka-c1s-rouge-batterie-lithium-60v26ah-garantie-2-ans-.jpg;"EUROCKA CKA C1S ROUGE BATTERIE LITHIUM 60V26AH Garantie 2 ans﻿";"C1S ROUGE 26AH";"Scooter elettrico  L1e";2332.500000;2799;10;0;18
3513;https://eurocka.it/3461/eurocka-cka-c1s-blanc-batterie-lithium-60v26ah-garantie-2-ans-.jpg;"EUROCKA CKA C1S BLANC BATTERIE LITHIUM 60V26AH Garantie 2 ans﻿";"C1SGA BLANC 26AH";"Scooter elettrico  L1e";2332.500000;2799;10;0;19
3515;https://eurocka.it/3398/eurocka-cka-c1-rouge-batterie-lithium-60v30ah-garantie-2-ans-.jpg;"EUROCKA CKA C1 ROUGE BATTERIE LITHIUM 60V29AH Garantie 2 ans﻿";"C1 ROUGE 29AH";"Scooter elettrico  L1e";2499.166667;2999;9;0;20
3514;https://eurocka.it/3394/eurocka-cka-c1s-noir-batterie-lithium-60v26ah-garantie-2-ans-.jpg;"EUROCKA CKA C1S NOIR BATTERIE LITHIUM 60V26AH Garantie 2 ans﻿";"C1S NOIR 26AH";"Scooter elettrico  L1e";2332.500000;2799;10;0;21
3516;https://eurocka.it/3406/eurocka-cka-c1-blanc-batterie-lithium-60v30ah-garantie-2-ans-.jpg;"EUROCKA CKA C1 BLANC BATTERIE LITHIUM 60V29AH Garantie 2 ans﻿";"C1 BLANC 29AH";"Scooter elettrico  L1e";2499.166667;2999;20;0;22
3517;https://eurocka.it/3414/eurocka-cka-c1-noir-batterie-lithium-60v30ah-garantie-2-ans-.jpg;"EUROCKA CKA C1 NOIR BATTERIE LITHIUM 60V29AH Garantie 2 ans﻿";"C1 NOIR 29AH";"Scooter elettrico  L1e";2499.166667;2999;10;0;23
3518;https://eurocka.it/3418/eurocka-cka-c1sga-pro-rouge-batterie-lithium-60v30ah-garantie-2-ans-.jpg;"EUROCKA CKA C1SGA PRO ROUGE BATTERIE LITHIUM 60V29AH Garantie 2 ans﻿";"C1SGA PRO ROUGE 29AH";"Scooter elettrico  L1e";2499.166667;2999;9;0;24
3519;https://eurocka.it/3427/eurocka-cka-c1sga-pro-blanc-batterie-lithium-60v30ah-garantie-2-ans-.jpg;"EUROCKA CKA C1SGA PRO BLANC BATTERIE LITHIUM 60V29AH Garantie 2 ans﻿";"C1SGA PRO BLANC 29AH";"Scooter elettrico  L1e";2499.166667;2999;10;0;25
3521;https://eurocka.it/3434/eurocka-cka-c1s-rouge-batterie-lithium-60v30ah-garantie-2-ans-.jpg;"EUROCKA CKA C1S ROUGE BATTERIE LITHIUM 60V29AH Garantie 2 ans﻿";"C1S ROUGE 29AH";"Scooter elettrico  L1e";2499.166667;2999;10;0;26
3520;https://eurocka.it/3428/eurocka-cka-c1sga-pro-noir-batterie-lithium-60v30ah-garantie-2-ans-.jpg;"EUROCKA CKA C1SGA PRO NOIR BATTERIE LITHIUM 60V29AH Garantie 2 ans﻿";"C1SGA PRO NOIR 29AH";"Scooter elettrico  L1e";2499.166667;2999;10;0;27
3522;https://eurocka.it/3466/eurocka-cka-c1s-blanc-batterie-lithium-60v30ah-garantie-2-ans-.jpg;"EUROCKA CKA C1S BLANC BATTERIE LITHIUM 60V29AH Garantie 2 ans﻿";"C1S BLANC 29AH";"Scooter elettrico  L1e";2499.166667;2999;10;0;28
3523;https://eurocka.it/3441/eurocka-cka-c1s-noir-batterie-lithium-60v30ah-garantie-2-ans-.jpg;"EUROCKA CKA C1S NOIR BATTERIE LITHIUM 60V29AH Garantie 2 ans﻿";"C1S NOIR 29AH";"Scooter elettrico  L1e";2499.166667;2999;10;0;29
2911;https://eurocka.it/2408/e-scooter-eurocka-cka-wave.jpg;"CKA E-WAVE EURO 4";wave;"Scooter elettrico  L1e";1415.833333;1699;9;0;31
3570;https://eurocka.it/3541/eurocka-cka-c1sga-pro-noir-batterie-lithium-60v29ah.jpg;"EUROCKA KAIWEI CKA C1SGA BATERÍA LITIO 60V29AH+CAJA SUPERIOR 75L";"C1SGA PRO NOIR 29AH";"Scooter elettrico  L1e";2395.867769;2899;10;0;37
3577;https://eurocka.it/3562/eurocka-cka-c1sga-pro-blanc-batterie-lithium-60v29ahtop-case-120l.jpg;"EUROCKA CKA C1SGA PRO BLANC BATTERIE LITHIUM 60V29AH+TOP CASE 120L";;"Scooter elettrico  L1e";2665.833333;3199;2;0;38
3571;https://eurocka.it/3543/eurocka-cka-luxueux-a8-batterie-gris-lithium-60v20ah-.jpg;"EUROCKA CKA Luxueux A8 BATTERIE BLANC LITHIUM 60V20AH";"A8 BATTERIE 20AH";"Scooter elettrico  L1e";2165.833333;2599;5;0;39
3572;https://eurocka.it/3545/eurocka-cka-luxueux-a8-batterie-gris-lithium-60v26ah-.jpg;"EUROCKA CKA Luxueux A8 BATTERIE BLANC LITHIUM 60V26AH";"A8 BATTERIE 26AH";"Scooter elettrico  L1e";2332.500000;2799;5;0;40
3573;https://eurocka.it/3547/eurocka-cka-luxueux-a8-batterie-gris-lithium-60v29ah-.jpg;"EUROCKA CKA Luxueux A8 BATTERIE BLANC LITHIUM 60V29AH";"A8 BATTERIE 29AH";"Scooter elettrico  L1e";2499.166667;2999;5;0;41
3588;https://eurocka.it/3595/vhf.jpg;C1s;;"Scooter elettrico  L1e";2499.166667;2999;600;0;42
3591;https://eurocka.it/3612/cka-express.jpg;"CKA Express avec top case engels 120L BATERIA LITIO 60V29ah";;"Scooter elettrico  L1e";2415.833333;2899;1500;0;43
3594;https://eurocka.it/3624/cka-c1s-.jpg;"Scooter eurocka CKA C1SGA  BATERIA LITIO 60V29ah";;"Scooter elettrico  L1e";2294.262295;2799;30;0;44
3595;https://eurocka.it/3632/cka-c1.jpg;"Scooter EUROCKA KAIWEI  C1 GA BATERIA LITIO 60V29ah";;"Scooter elettrico  L1e";2294.262295;2799;40;0;45
3597;https://eurocka.it/3643/z-ion-s.jpg;"Scooter eurocka Z-ion S BATERIA DE LITIO 60V20ah";;"Scooter elettrico  L1e";1665.833333;1999;90;0;46
3600;https://eurocka.it/3713/luxueux-a9.jpg;"EUROCKA CKA LUXURY A9 BATERIA LITIO 60V29ah";A9;"Scooter elettrico  L1e";2147.933884;2599;120;0;47
3601;https://eurocka.it/3708/a8.jpg;"EUROCKA CKA LUXURY A8 BATERIA LITIO 60V29ah";A8;"Scooter elettrico  L1e";2065.289256;2499;30;0;48
3602;https://eurocka.it/3684/u-dream.jpg;"Scooter eurocka U-Dream BATERIA LITIO";U-Dream;"Scooter elettrico  L1e";2082.500000;2499;0;1;49
3698;https://eurocka.it/3830/cka-express.jpg;"CKA Express con caja superior 75L";;"Scooter elettrico  L1e";1999.166667;2489;480;0;50
3699;https://eurocka.it/3822/cka-express.jpg;"EUROCKA KAIWEI CKA Express C1S GA 60V29ah";;"Scooter elettrico  L1e";2332.500000;2822.33;180;0;51
